Country,Freedom in the World 2020,2020 Index of Economic Freedom,2020 Press Freedom Index,2019 Democracy Index
 Afghanistan,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Albania,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Algeria,2notfree,5repressed,1difficultsituation,4hybridregime
 Angola,2notfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Argentina,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Armenia,3partlyfree,3mostlyfree,3noticeableproblems,4hybridregime
 Australia,1free,1free,4satisfactorysituation,3fulldemocracy
 Austria,1free,3mostlyfree,4satisfactorysituation,3fulldemocracy
 Azerbaijan,2notfree,2moderatelyfree,5veryserioussituation,1authoritarianregime
 Bahrain,2notfree,2moderatelyfree,5veryserioussituation,1authoritarianregime
 Bangladesh,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 Belarus,2notfree,2moderatelyfree,1difficultsituation,1authoritarianregime
 Belgium,1free,2moderatelyfree,2goodsituation,2flaweddemocracy
 Benin,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 Bhutan,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Bolivia,3partlyfree,5repressed,1difficultsituation,4hybridregime
 Bosnia and Herzegovina,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Botswana,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
 Brazil,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Bulgaria,1free,3mostlyfree,1difficultsituation,2flaweddemocracy
 Burkina Faso,3partlyfree,4mostlyunfree,4satisfactorysituation,4hybridregime
 Burma,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Burundi,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Cambodia,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Cameroon,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Canada,1free,3mostlyfree,4satisfactorysituation,3fulldemocracy
 Cape Verde,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
 Central African Republic,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Chad,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Chile,1free,3mostlyfree,3noticeableproblems,3fulldemocracy
 China,2notfree,4mostlyunfree,5veryserioussituation,1authoritarianregime
 Colombia,3partlyfree,2moderatelyfree,1difficultsituation,2flaweddemocracy
 Comoros,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Costa Rica,1free,2moderatelyfree,2goodsituation,3fulldemocracy
" Congo, Democratic Republic of the",2notfree,5repressed,1difficultsituation,1authoritarianregime
" Congo, Republic of the",2notfree,5repressed,1difficultsituation,1authoritarianregime
 Croatia,1free,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Cuba,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Cyprus,1free,3mostlyfree,4satisfactorysituation,2flaweddemocracy
 Czech Republic,1free,3mostlyfree,4satisfactorysituation,2flaweddemocracy
 Denmark,1free,3mostlyfree,2goodsituation,3fulldemocracy
 Djibouti,2notfree,4mostlyunfree,5veryserioussituation,1authoritarianregime
 Dominican Republic,3partlyfree,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 East Timor,1free,5repressed,3noticeableproblems,2flaweddemocracy
 Ecuador,3partlyfree,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Egypt,2notfree,4mostlyunfree,5veryserioussituation,1authoritarianregime
 El Salvador,3partlyfree,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Equatorial Guinea,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Eritrea,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Estonia,1free,3mostlyfree,2goodsituation,2flaweddemocracy
 Eswatini,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Ethiopia,2notfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Fiji,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Finland,1free,3mostlyfree,2goodsituation,3fulldemocracy
 France,1free,2moderatelyfree,4satisfactorysituation,3fulldemocracy
 Gabon,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Gambia,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
 Georgia,3partlyfree,3mostlyfree,3noticeableproblems,4hybridregime
 Germany,1free,3mostlyfree,2goodsituation,3fulldemocracy
 Ghana,1free,4mostlyunfree,4satisfactorysituation,2flaweddemocracy
 Greece,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Guatemala,3partlyfree,2moderatelyfree,1difficultsituation,4hybridregime
 Guinea,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Guinea-Bissau,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Guyana,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Haiti,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
 Honduras,3partlyfree,2moderatelyfree,1difficultsituation,4hybridregime
 Hong Kong,3partlyfree,1free,3noticeableproblems,2flaweddemocracy
 Hungary,3partlyfree,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Iceland,1free,3mostlyfree,4satisfactorysituation,3fulldemocracy
 India,1free,4mostlyunfree,1difficultsituation,2flaweddemocracy
 Indonesia,3partlyfree,2moderatelyfree,1difficultsituation,2flaweddemocracy
 Iran,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Ireland,1free,1free,2goodsituation,3fulldemocracy
 Israel,1free,3mostlyfree,3noticeableproblems,2flaweddemocracy
 Italy,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
 Ivory Coast,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
 Jamaica,1free,2moderatelyfree,2goodsituation,2flaweddemocracy
 Japan,1free,3mostlyfree,3noticeableproblems,2flaweddemocracy
 Jordan,3partlyfree,2moderatelyfree,1difficultsituation,1authoritarianregime
 Kazakhstan,2notfree,2moderatelyfree,1difficultsituation,1authoritarianregime
 Kenya,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
" Korea, North",2notfree,5repressed,5veryserioussituation,1authoritarianregime
" Korea, South",1free,3mostlyfree,4satisfactorysituation,2flaweddemocracy
 Kuwait,3partlyfree,2moderatelyfree,3noticeableproblems,1authoritarianregime
 Kyrgyzstan,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Laos,2notfree,4mostlyunfree,5veryserioussituation,1authoritarianregime
 Latvia,1free,3mostlyfree,4satisfactorysituation,2flaweddemocracy
 Lebanon,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
 Lesotho,3partlyfree,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Liberia,3partlyfree,5repressed,3noticeableproblems,4hybridregime
 Lithuania,1free,3mostlyfree,4satisfactorysituation,2flaweddemocracy
 Luxembourg,1free,3mostlyfree,4satisfactorysituation,3fulldemocracy
 Madagascar,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Malawi,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
 Malaysia,3partlyfree,3mostlyfree,3noticeableproblems,2flaweddemocracy
 Mali,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
 Malta,1free,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Mauritania,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Mauritius,1free,3mostlyfree,3noticeableproblems,3fulldemocracy
 Mexico,3partlyfree,2moderatelyfree,1difficultsituation,2flaweddemocracy
 Moldova,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Mongolia,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Montenegro,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Morocco,3partlyfree,2moderatelyfree,1difficultsituation,4hybridregime
 Mozambique,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Namibia,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
   Nepal,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 Netherlands,1free,3mostlyfree,2goodsituation,3fulldemocracy
 New Zealand,1free,1free,2goodsituation,3fulldemocracy
 Nicaragua,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Niger,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Nigeria,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 North Macedonia,3partlyfree,2moderatelyfree,3noticeableproblems,4hybridregime
 Norway,1free,3mostlyfree,2goodsituation,3fulldemocracy
 Oman,2notfree,2moderatelyfree,1difficultsituation,1authoritarianregime
 Pakistan,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 Panama,1free,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Papua New Guinea,3partlyfree,4mostlyunfree,4satisfactorysituation,2flaweddemocracy
 Paraguay,3partlyfree,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Peru,1free,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Philippines,3partlyfree,2moderatelyfree,1difficultsituation,2flaweddemocracy
 Poland,1free,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Portugal,1free,2moderatelyfree,2goodsituation,3fulldemocracy
 Qatar,2notfree,3mostlyfree,1difficultsituation,1authoritarianregime
 Romania,1free,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Russia,2notfree,2moderatelyfree,1difficultsituation,1authoritarianregime
 Rwanda,2notfree,3mostlyfree,1difficultsituation,1authoritarianregime
 Saudi Arabia,2notfree,2moderatelyfree,5veryserioussituation,1authoritarianregime
 Senegal,3partlyfree,4mostlyunfree,4satisfactorysituation,4hybridregime
 Serbia,3partlyfree,2moderatelyfree,3noticeableproblems,2flaweddemocracy
 Sierra Leone,3partlyfree,5repressed,3noticeableproblems,4hybridregime
 Singapore,3partlyfree,1free,5veryserioussituation,2flaweddemocracy
 Slovakia,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
 Slovenia,1free,2moderatelyfree,4satisfactorysituation,2flaweddemocracy
 South Africa,1free,4mostlyunfree,4satisfactorysituation,2flaweddemocracy
 Spain,1free,2moderatelyfree,4satisfactorysituation,3fulldemocracy
 Sri Lanka,3partlyfree,4mostlyunfree,1difficultsituation,2flaweddemocracy
 Sudan,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Suriname,1free,5repressed,4satisfactorysituation,2flaweddemocracy
 Sweden,1free,3mostlyfree,2goodsituation,3fulldemocracy
  Switzerland,1free,1free,2goodsituation,3fulldemocracy
 Taiwan,1free,3mostlyfree,4satisfactorysituation,2flaweddemocracy
 Tajikistan,2notfree,4mostlyunfree,5veryserioussituation,1authoritarianregime
 Tanzania,3partlyfree,2moderatelyfree,1difficultsituation,4hybridregime
 Thailand,3partlyfree,2moderatelyfree,1difficultsituation,2flaweddemocracy
 Togo,3partlyfree,4mostlyunfree,3noticeableproblems,1authoritarianregime
 Trinidad and Tobago,1free,4mostlyunfree,4satisfactorysituation,2flaweddemocracy
 Tunisia,1free,4mostlyunfree,3noticeableproblems,2flaweddemocracy
 Turkey,2notfree,2moderatelyfree,1difficultsituation,4hybridregime
 Turkmenistan,2notfree,5repressed,5veryserioussituation,1authoritarianregime
 Uganda,2notfree,4mostlyunfree,1difficultsituation,4hybridregime
 Ukraine,3partlyfree,4mostlyunfree,3noticeableproblems,4hybridregime
 United Arab Emirates,2notfree,3mostlyfree,1difficultsituation,1authoritarianregime
 United Kingdom,1free,3mostlyfree,4satisfactorysituation,3fulldemocracy
 United States,1free,3mostlyfree,4satisfactorysituation,2flaweddemocracy
 Uruguay,1free,2moderatelyfree,4satisfactorysituation,3fulldemocracy
 Uzbekistan,2notfree,4mostlyunfree,1difficultsituation,1authoritarianregime
 Venezuela,2notfree,5repressed,1difficultsituation,1authoritarianregime
 Vietnam,2notfree,4mostlyunfree,5veryserioussituation,1authoritarianregime
 Zambia,3partlyfree,4mostlyunfree,1difficultsituation,4hybridregime
 Zimbabwe,3partlyfree,5repressed,1difficultsituation,1authoritarianregime
